timestamp,state,controller,action,cpu_pct,mem_pct,req_rate,p95_latency_ms,replicas,reward,pattern
1777392128.063647,INITIALIZED,HPA,1,0.6349,0.4329,52.48,306.8,4,0.9,periodic
1777392158.063647,INITIALIZED,HPA,1,0.6517,0.4625,53.85,284.6,4,0.9,periodic
1777392188.063647,INITIALIZED,HPA,2,0.7114,0.4072,57.68,261.9,5,0.7667,periodic
1777392218.063647,INITIALIZED,HPA,1,0.6085,0.3591,66.2,234.8,5,0.8667,periodic
1777392248.063647,INITIALIZED,HPA,2,0.7388,0.3966,64.83,244.3,6,0.7333,periodic
1777392278.063647,INITIALIZED,HPA,2,0.7296,0.425,82.05,266.4,7,0.8,periodic
1777392308.063647,INITIALIZED,HPA,2,0.7631,0.3918,76.73,342.2,8,0.7667,periodic
1777392338.063647,INITIALIZED,HPA,2,0.7584,0.4078,81.06,406.1,9,0.7333,periodic
1777392368.063647,INITIALIZED,HPA,2,0.7343,0.4481,88.47,285.9,10,0.7,periodic
1777392398.063647,INITIALIZED,HPA,1,0.702,0.3804,93.91,339.4,10,0.7,periodic
1777392428.063647,INITIALIZED,HPA,1,0.82,0.4285,100.72,371.0,10,0.7,periodic
1777392458.063647,INITIALIZED,HPA,1,0.7855,0.4147,93.6,402.6,10,0.7,periodic
1777392488.063647,INITIALIZED,HPA,1,0.7419,0.4339,106.48,349.0,10,0.7,periodic
1777392518.063647,INITIALIZED,HPA,1,0.8678,0.4677,104.93,443.4,10,0.7,periodic
1777392548.063647,INITIALIZED,HPA,1,0.8273,0.4427,107.44,434.7,10,0.7,periodic
1777392578.063647,INITIALIZED,HPA,1,0.8374,0.4006,112.33,358.7,10,0.7,periodic
1777392608.063647,INITIALIZED,HPA,1,0.917,0.4395,121.61,488.5,10,0.7,periodic
1777392638.063647,INITIALIZED,HPA,1,0.8177,0.4426,121.91,475.6,10,0.7,periodic
1777392668.063647,INITIALIZED,HPA,1,0.9275,0.3642,122.21,485.8,10,0.7,periodic
1777392698.063647,INITIALIZED,HPA,1,0.832,0.436,124.82,343.9,10,0.7,periodic
1777392728.063647,INITIALIZED,HPA,1,0.861,0.4804,124.99,413.1,10,0.7,periodic
1777392758.063647,INITIALIZED,HPA,1,0.8126,0.4587,123.44,427.7,10,0.7,periodic
1777392788.063647,INITIALIZED,HPA,1,0.8564,0.4386,125.93,472.4,10,0.7,periodic
1777392818.063647,INITIALIZED,HPA,1,0.8059,0.4188,125.86,357.3,10,0.7,periodic
1777392848.063647,INITIALIZED,HPA,1,0.8254,0.4327,131.32,421.5,10,0.7,periodic
1777392878.063647,INITIALIZED,HPA,1,0.78,0.4177,122.92,370.3,10,0.7,periodic
1777392908.063647,INITIALIZED,HPA,1,0.8085,0.4874,129.04,428.5,10,0.7,periodic
1777392938.063647,INITIALIZED,HPA,1,0.7705,0.3695,130.66,409.6,10,0.7,periodic
1777392968.063647,INITIALIZED,HPA,1,0.882,0.4324,128.88,459.1,10,0.7,periodic
1777392998.063647,INITIALIZED,HPA,1,0.6839,0.4527,127.31,405.4,10,0.7,periodic
1777393028.063647,INITIALIZED,HPA,1,0.6791,0.46,130.04,321.7,10,0.7,steady
1777393058.063647,INITIALIZED,HPA,1,0.8153,0.4018,127.32,398.7,10,0.7,steady
1777393088.063647,INITIALIZED,HPA,1,0.6608,0.3696,122.88,363.3,10,0.7,steady
1777393118.063647,INITIALIZED,HPA,1,0.6889,0.3913,114.79,420.3,10,0.7,steady
1777393148.063647,INITIALIZED,HPA,1,0.6275,0.4372,113.63,285.8,10,0.7,steady
1777393178.063647,INITIALIZED,HPA,1,0.6866,0.3704,115.86,366.5,10,0.7,steady
1777393208.063647,INITIALIZED,HPA,1,0.6373,0.3766,112.94,284.7,10,0.7,steady
1777393238.063647,INITIALIZED,HPA,1,0.5895,0.4165,110.93,331.6,10,0.7,steady
1777393268.063647,INITIALIZED,HPA,1,0.5621,0.415,101.36,265.2,10,0.7,steady
1777393298.063647,INITIALIZED,HPA,1,0.5497,0.3692,110.32,329.1,10,0.7,steady
1777393328.063647,INITIALIZED,HPA,1,0.5405,0.4388,92.15,239.6,10,0.7,steady
1777393358.063647,INITIALIZED,HPA,1,0.4968,0.4243,97.68,342.4,10,0.7,steady
1777393388.063647,INITIALIZED,HPA,0,0.4134,0.3647,87.31,218.3,9,0.6333,steady
1777393418.063647,INITIALIZED,HPA,0,0.443,0.4026,83.68,278.6,8,0.7667,steady
1777393448.063647,INITIALIZED,HPA,1,0.4736,0.3894,79.51,348.1,8,0.7667,steady
1777393478.063647,INITIALIZED,HPA,0,0.3332,0.3512,77.85,256.1,7,0.7,steady
1777393508.063647,INITIALIZED,HPA,0,0.3873,0.4029,68.78,220.3,6,0.8333,steady
1777393538.063647,INITIALIZED,HPA,0,0.2517,0.3618,60.76,245.4,5,0.8667,steady
1777393568.063647,INITIALIZED,HPA,0,0.2415,0.3793,61.1,227.1,4,0.9,steady
1777393598.063647,INITIALIZED,HPA,0,0.2883,0.3806,50.6,150.2,3,0.9333,steady
1777393628.063647,OFFLINE_TRAINING,HPA,0,0.2863,0.4111,51.79,239.8,2,0.9667,steady
1777393658.063647,OFFLINE_TRAINING,HPA,0,0.1897,0.3844,38.09,197.7,1,1.0,steady
1777393688.063647,OFFLINE_TRAINING,HPA,1,0.4084,0.408,42.55,229.2,1,1.0,steady
1777393718.063647,OFFLINE_TRAINING,HPA,1,0.2284,0.3634,39.78,210.0,1,1.0,steady
1777393748.063647,OFFLINE_TRAINING,HPA,1,0.1651,0.352,26.24,162.6,1,1.0,steady
1777393778.063647,OFFLINE_TRAINING,HPA,1,0.0658,0.3772,36.85,110.8,1,1.0,steady
1777393808.063647,OFFLINE_TRAINING,HPA,1,0.1969,0.3716,18.19,104.2,1,1.0,steady
1777393838.063647,OFFLINE_TRAINING,HPA,1,0.161,0.3442,12.36,147.2,1,1.0,steady
1777393868.063647,OFFLINE_TRAINING,HPA,1,0.0803,0.4223,11.69,162.9,1,1.0,steady
1777393898.063647,OFFLINE_TRAINING,HPA,1,0.1093,0.3411,5.0,161.6,1,1.0,steady
1777393928.063647,OFFLINE_TRAINING,HPA,1,0.0828,0.3734,5.0,162.1,1,1.0,periodic
1777393958.063647,OFFLINE_TRAINING,HPA,1,0.0618,0.3419,5.0,101.4,1,1.0,periodic
1777393988.063647,OFFLINE_TRAINING,HPA,1,0.0902,0.3212,5.0,164.2,1,1.0,periodic
1777394018.063647,OFFLINE_TRAINING,HPA,1,0.1145,0.3159,5.0,108.1,1,1.0,periodic
1777394048.063647,OFFLINE_TRAINING,HPA,1,0.05,0.3683,5.0,158.5,1,1.0,periodic
1777394078.063647,OFFLINE_TRAINING,HPA,1,0.0503,0.2578,5.0,86.5,1,1.0,periodic
1777394108.063647,OFFLINE_TRAINING,HPA,1,0.05,0.404,5.0,70.3,1,1.0,periodic
1777394138.063647,OFFLINE_TRAINING,HPA,1,0.0565,0.3989,5.0,70.1,1,1.0,periodic
1777394168.063647,OFFLINE_TRAINING,HPA,1,0.0512,0.3257,5.0,146.0,1,1.0,periodic
1777394198.063647,OFFLINE_TRAINING,HPA,1,0.05,0.3571,5.0,112.1,1,1.0,periodic
1777394228.063647,OFFLINE_TRAINING,HPA,1,0.09,0.4066,5.0,78.0,1,1.0,periodic
1777394258.063647,OFFLINE_TRAINING,HPA,1,0.05,0.3504,5.0,151.0,1,1.0,periodic
1777394288.063647,OFFLINE_TRAINING,HPA,1,0.05,0.3488,5.0,107.8,1,1.0,periodic
